dimension	value	cells	fraction
sample_id	SRX5025985	1600	0.0058665649795403545
sample_id	SRX5025984	1294	0.004744584427203262
sample_id	SRX5025986	1100	0.004033263423433994
sample_id	SRX5025983	1067	0.003912265520730974
sample_id	SRX4098368	980	0.003593271049968467
cell_type	Mesophyll	98642	0.36168106419488727
cell_type	Unknow	27839	0.10207456404088996
cell_type	Vascular tissue	17187	0.06301790768960004
cell_type	Shoot system epidermis	14326	0.05252775618555945
cell_type	Hydathodes	11357	0.04164161154539988
cell_type	G2/M phase	11305	0.04145094818356482
cell_type	Leaf epidermis	10705	0.039250986316237184
cell_type	S phase	9310	0.03413607497470044
cell_type	Root cortex	8336	0.030564803543405246
cell_type	Root hair	5984	0.021940953023480925
cell_type	Shoot apical meristem	5610	0.020569643459513367
cell_type	Root cap	5357	0.01964199287212355
cell_type	Xylem	4800	0.017599694938621065
cell_type	Lateral root cap	4595	0.016848041300617456
cell_type	Root endodermis	4211	0.015440065705527771
cell_type	Adaxial epidermis	3614	0.013251103647536776
cell_type	Non-hair	3482	0.012767112036724697
cell_type	Root stele	3435	0.0125947816904507
cell_type	Meristematic cell	2962	0.010860478418374082
cell_type	Guard cell	2084	0.0076412008858513115
cell_type	Columella root cap	2027	0.007432204508455186
cell_type	Companion cell	2027	0.007432204508455186
cell_type	Phloem	1917	0.007028878166111787
cell_type	Xylem parenchyma	1881	0.006896880454072129
cell_type	Phloem parenchyma	1769	0.006486220905504304
cell_type	Bundle sheath	1540	0.0056465687928075915
cell_type	Idioblast cell	1536	0.00563190238035874
cell_type	Leaf guard cell	1103	0.004044263232770632
cell_type	Procambium	1040	0.0038132672367012306
cell_type	Abaxial epidermis	904	0.0033146092134403
cell_type	Leaf pavement cell	858	0.003145945470278515
cell_type	G1/G0 phase	666	0.002441957672733673
cell_type	Pigment gland	309	0.001132980361673731
cell_type	Sieve element	14	5.13324435709781e-05
cell_type_coarse	Mesophyll	98642	0.36168106419488727
cell_type_coarse	Unknow	27839	0.10207456404088996
cell_type_coarse	Vascular tissue	17187	0.06301790768960004
cell_type_coarse	Shoot system epidermis	14326	0.05252775618555945
cell_type_coarse	Hydathodes	11357	0.04164161154539988
cell_type_coarse	G2/M phase	11305	0.04145094818356482
cell_type_coarse	Leaf epidermis	10705	0.039250986316237184
cell_type_coarse	S phase	9310	0.03413607497470044
cell_type_coarse	Root cortex	8336	0.030564803543405246
cell_type_coarse	Root hair	5984	0.021940953023480925
cell_type_coarse	Shoot apical meristem	5610	0.020569643459513367
cell_type_coarse	Root cap	5357	0.01964199287212355
cell_type_coarse	Xylem	4800	0.017599694938621065
cell_type_coarse	Lateral root cap	4595	0.016848041300617456
cell_type_coarse	Root endodermis	4211	0.015440065705527771
cell_type_coarse	Adaxial epidermis	3614	0.013251103647536776
cell_type_coarse	Non-hair	3482	0.012767112036724697
cell_type_coarse	Root stele	3435	0.0125947816904507
cell_type_coarse	Meristematic cell	2962	0.010860478418374082
cell_type_coarse	Guard cell	2084	0.0076412008858513115
cell_type_coarse	Columella root cap	2027	0.007432204508455186
cell_type_coarse	Companion cell	2027	0.007432204508455186
cell_type_coarse	Phloem	1917	0.007028878166111787
cell_type_coarse	Xylem parenchyma	1881	0.006896880454072129
cell_type_coarse	Phloem parenchyma	1769	0.006486220905504304
cell_type_coarse	Bundle sheath	1540	0.0056465687928075915
cell_type_coarse	Idioblast cell	1536	0.00563190238035874
cell_type_coarse	Leaf guard cell	1103	0.004044263232770632
cell_type_coarse	Procambium	1040	0.0038132672367012306
cell_type_coarse	Abaxial epidermis	904	0.0033146092134403
cell_type_coarse	Leaf pavement cell	858	0.003145945470278515
cell_type_coarse	G1/G0 phase	666	0.002441957672733673
cell_type_coarse	Pigment gland	309	0.001132980361673731
cell_type_coarse	Sieve element	14	5.13324435709781e-05
