label	display_label	rank	gene	score	log2fc	detection_delta	detection_in	detection_out	n_cells_in	n_cells_out
Root cap	Root cap	3	AT1G28290	2.634497880935669	3.340569496154785	0.7886373177170755	0.89485764503479	0.1062203273177146	2178	33487
Root cap	Root cap	4	AT5G58784	2.3994228839874268	4.509356498718262	0.5320987235754729	0.5573921203613281	0.0252933967858552	2178	33487
Root cap	Root cap	5	AT2G43610	2.254349946975708	2.8390114307403564	0.7940616011619568	0.96051424741745	0.1664526462554931	2178	33487
Root cortex	Root cortex	1	AT1G12090	2.1166796684265137	3.709548711776733	0.5706030242145061	0.626617968082428	0.0560149438679218	3013	32652
Root cortex	Root cortex	2	AT1G13930	1.7962702512741089	3.344795227050781	0.537034459412098	0.6043810248374939	0.0673465654253959	3013	32652
Root cortex	Root cortex	3	AT1G21310	1.6650350093841553	2.455268621444702	0.6781477630138397	0.8698971271514893	0.1917493641376495	3013	32652
Root cortex	Root cortex	4	AT5G13930	1.3623403310775757	2.940925121307373	0.4632352888584137	0.5426484942436218	0.0794132053852081	3013	32652
Root cortex	Root cortex	5	AT4G30170	1.3587621450424194	2.431292057037353	0.5588642209768296	0.7046133279800415	0.1457491070032119	3013	32652
Root endodermis	Root endodermis	1	AT3G22620	3.147590160369873	4.340705871582031	0.7251332588493825	0.7733898758888245	0.048256617039442	3773	31892
Root endodermis	Root endodermis	2	AT3G22600	2.88796615600586	3.977809429168701	0.7260192632675172	0.7887622714042664	0.0627430081367492	3773	31892
Root endodermis	Root endodermis	3	AT2G32300	2.8632631301879883	4.828229904174805	0.5930254682898521	0.6175457239151001	0.0245202556252479	3773	31892
Root endodermis	Root endodermis	4	AT2G28670	2.536210060119629	4.291459560394287	0.5909900590777398	0.6310628056526184	0.0400727465748786	3773	31892
Root endodermis	Root endodermis	5	AT5G15290	2.462292194366455	5.173700332641602	0.4759247675538064	0.4919162392616272	0.0159914717078208	3773	31892
Root hair	Root hair	1	AT3G54580	1.732917308807373	3.326776027679444	0.5208998695015907	0.5851784944534302	0.0642786249518394	4426	31239
Root hair	Root hair	2	AT1G30870	1.6803051233291626	3.981665372848511	0.4220106378197671	0.4521012306213379	0.0300905928015708	4426	31239
Root hair	Root hair	3	AT3G09925	1.6021944284439087	3.955212593078613	0.4050842896103859	0.4335743188858032	0.0284900292754173	4426	31239
Root hair	Root hair	4	AT3G54590	1.5865923166275024	3.545872688293457	0.4474476166069508	0.4934478104114532	0.0460001938045024	4426	31239
Root hair	Root hair	5	AT3G62680	1.5795892477035522	3.7004547119140634	0.4268635511398315	0.4661093652248382	0.0392458140850067	4426	31239
Root stele	Root stele	1	AT4G11210	2.272092342376709	3.839675188064575	0.591740794479847	0.6439592242240906	0.0522184297442436	3435	32230
Root stele	Root stele	2	AT2G02130	2.247849464416504	4.156124114990234	0.5408523418009282	0.5784570574760437	0.0376047156751155	3435	32230
Root stele	Root stele	3	AT1G12080	2.042723655700684	3.5288333892822266	0.5788665562868118	0.6462882161140442	0.0674216598272323	3435	32230
Root stele	Root stele	4	AT4G14130	1.5604541301727295	4.25583028793335	0.3666626960039139	0.3874818086624145	0.0208191126585006	3435	32230
Root stele	Root stele	5	AT3G59370	1.5353330373764038	3.833889961242676	0.4004635065793991	0.4349344968795776	0.0344709903001785	3435	32230
Xylem	Xylem	1	AT5G03170	3.444248914718628	7.142570018768311	0.4822142471093685	0.485671192407608	0.0034569452982395	663	35002
Xylem	Xylem	2	AT1G20850	2.7079555988311768	5.842593193054199	0.4634852167218924	0.4751131236553192	0.0116279069334268	663	35002
Xylem	Xylem	3	AT5G16490	2.488999843597412	7.410231590270996	0.3358869140502066	0.3378582298755646	0.001971315825358	663	35002
Xylem	Xylem	4	AT1G08283	2.4151949882507324	6.265928268432617	0.3854488707147538	0.3906485736370086	0.0051997029222548	663	35002
Xylem	Xylem	5	AT4G23690	2.319791793823242	3.659234762191773	0.6339554339647293	0.7028657793998718	0.0689103454351425	663	35002
