label_key	label	display_label	category	rank	gene	score	log2fc	mean_in	mean_out	detection_in	detection_out	detection_delta	n_cells_in	n_cells_out
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	10	ATCG00160	1.5270694494247437	4.102225303649902	1.2983791828155518	0.0746559426188469	0.3992248177528381	0.0269708950072526	0.3722539227455855	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	11	ATCG01020	1.5240490436553955	3.4055495262146	1.805231094360352	0.1694514751434326	0.5058139562606812	0.0582946874201297	0.44751926884055143	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	12	ATCG00470	1.515460729598999	3.13274359703064	2.017716407775879	0.2291576862335205	0.5620155334472656	0.0782668069005012	0.48374872654676443	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	13	ATCG00040	1.4481559991836548	3.6166369915008554	1.6057778596878052	0.1299904435873031	0.4457364380359649	0.0453213453292846	0.4004150927066803	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	14	ATCG00180	1.4197027683258057	3.784924983978272	1.481761455535889	0.1065710335969924	0.4127906858921051	0.0376966632902622	0.3750940226018429	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	15	ATCG00540	1.343809962272644	3.4083800315856934	1.540501594543457	0.1441842019557953	0.4437984526157379	0.0495319925248622	0.39426646009087574	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	16	ATCG00750	1.3311017751693726	3.665974378585816	1.3639219999313354	0.1065324693918228	0.4011628031730652	0.0380665175616741	0.36309628561139107	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	17	ATCG00660	1.1859393119812012	3.2077672481536865	1.4458839893341064	0.1556028127670288	0.4244185984134674	0.0547099485993385	0.36970864981412893	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	18	ATCG00500	1.156718373298645	2.5710208415985107	2.156317710876465	0.3620443642139435	0.569767415523529	0.1198611631989479	0.44990625232458115	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	19	ATCG00130	1.0919125080108645	3.7036170959472656	1.0756880044937134	0.0816399455070495	0.3236434161663055	0.0288201663643121	0.29482324980199337	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	20	ATCG00380	1.052585482597351	3.972492933273315	0.8937544822692871	0.0559986270964145	0.2848837077617645	0.0199152175337076	0.2649684902280569	516	35149
cell_type	Lateral root cap	Lateral root cap	root_identity	1	AT1G26820	3.025179147720337	5.740530490875244	2.000293493270874	0.036431647837162	0.5384392142295837	0.0114532252773642	0.5269859889522195	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	2	AT3G16440	2.9497182369232178	4.086220741271973	3.738694429397583	0.2191714644432068	0.7867711186408997	0.0649016052484512	0.7218695133924484	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	3	AT1G15385	2.871299743652344	4.243757724761963	2.594723701477051	0.1360124796628952	0.720916748046875	0.0443230494856834	0.6765936985611916	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	4	AT1G06090	2.831298589706421	4.234749794006348	3.290337085723877	0.1738178133964538	0.7217870354652405	0.0532000735402107	0.6685869619250298	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	5	AT5G55110	2.743521451950073	4.052804946899414	2.510266065597534	0.1503132134675979	0.7270089983940125	0.0500651821494102	0.6769438162446022	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	6	AT1G52050	2.7167017459869385	3.574781656265259	3.5889859199523926	0.3002841174602508	0.8439222574234009	0.0839592739939689	0.759962983429432	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	7	AT5G54370	2.70273756980896	3.317890882492065	4.509373188018799	0.4513012766838074	0.941108226776123	0.126513123512268	0.814595103263855	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	8	AT5G04200	2.6449153423309326	5.703824520111084	1.6756212711334229	0.0311671588569879	0.4734551906585693	0.009746104478836	0.4637090861797333	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	9	AT3G03500	2.5615134239196777	4.072160243988037	2.339132070541382	0.1381226927042007	0.6762402057647705	0.0472096353769302	0.6290305703878403	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	10	AT3G06460	2.5374350547790527	5.024513244628906	1.9095032215118408	0.0576973743736743	0.5242239832878113	0.0192128624767065	0.5050111208111048	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	11	AT1G47600	2.4100780487060547	3.861083745956421	3.945936679840088	0.2706177532672882	0.7040905356407166	0.0798932239413261	0.6241973116993904	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	12	AT5G16230	2.32841420173645	4.180752754211426	2.013221740722656	0.1100645065307617	0.5953002572059631	0.0383636467158794	0.5569366104900837	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	13	AT1G51470	2.3206827640533447	3.960014343261719	3.5295310020446777	0.2258594632148742	0.6524513959884644	0.0664224997162818	0.5860288962721826	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	14	AT2G32620	2.3033947944641118	6.207176208496094	1.2295358180999756	0.0156551282852888	0.3762692213058471	0.0051834378391504	0.37108578346669674	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	15	AT5G60530	2.30025577545166	2.886358499526977	5.43926477432251	0.7347657084465027	0.9889759421348572	0.192035511136055	0.7969404309988022	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	16	AT3G49190	2.2570667266845703	4.054311752319336	2.277151584625244	0.1361239105463028	0.6016826033592224	0.044974859803915	0.5567077435553074	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	17	AT4G13890	2.231712579727173	6.089491844177246	1.192255973815918	0.0165232196450233	0.3719176054000854	0.0054317461326718	0.3664858592674136	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	18	AT3G22740	2.2091243267059326	4.578372001647949	1.6867144107818604	0.069643422961235	0.5059471726417542	0.0234341043978929	0.48251306824386125	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	19	AT2G37540	2.204994440078736	4.950230121612549	1.5660167932510376	0.0496880859136581	0.4627211987972259	0.0172884725034236	0.4454327262938023	3447	32218
cell_type	Lateral root cap	Lateral root cap	root_identity	20	AT2G32610	2.099494457244873	5.882360935211182	1.11762273311615	0.0179634131491184	0.3632144033908844	0.006300825625658	0.3569135777652264	3447	32218
cell_type	Non-hair	Non-hair	root_identity	1	AT1G65310	2.7421586513519287	4.369741916656494	2.62038803100586	0.1257966756820678	0.6676714420318604	0.0401381365954875	0.6275333054363729	2654	33011
cell_type	Non-hair	Non-hair	root_identity	2	AT4G12545	2.5410025119781494	3.742491245269776	3.0680465698242188	0.2282985746860504	0.7490580081939697	0.0700978487730026	0.6789601594209671	2654	33011
