species	cell_type	rank	gene	score	log2fc	detection_delta	mean_expression_group	mean_expression_other	detection_group	detection_other	n_group	n_other
Gossypium hirsutum	Epidermis	5	Ghir-D10G002610	5.857017712060667	5.744262894721809	0.056377408669429425	0.10566318035125732	0.0019702075514942408	0.05735492577597879	0.0009775171065493646	5928	25575
Gossypium hirsutum	Epidermis	6	Ghir-A05G040420	5.841170094138563	5.65541790066141	0.09287609673857625	0.22132761776447296	0.004390239715576172	0.0946356275303651	0.0017595307917888563	5928	25575
Gossypium hirsutum	Epidermis	7	Ghir-A11G005050	5.796045932811172	5.635749313753941	0.08014830952861574	0.1338413655757904	0.002690931549295783	0.08147773279352287	0.0013294232649071359	5928	25575
Gossypium hirsutum	Epidermis	8	Ghir-D06G000990	5.773654291843486	5.650802593456982	0.061425849193251995	0.09475232660770416	0.0018849639454856515	0.062246963562753464	0.0008211143695014663	5928	25575
Gossypium hirsutum	Fiber cell	1	Ghir-D12G017670	5.544310252664637	4.950196551383492	0.2970568506405728	0.8379507064819336	0.02710474468767643	0.3088541666666689	0.011797316026096061	1920	29583
Gossypium hirsutum	Fiber cell	2	Ghir-D12G017660	5.31419935498064	5.097407299577199	0.10839602770172034	0.2709556519985199	0.007913569919764996	0.11197916666666642	0.0035831389649460823	1920	29583
Gossypium hirsutum	Fiber cell	3	Ghir-A12G017450	5.011379674149443	4.701483471093635	0.1549481015279041	0.3995855450630188	0.015356598421931267	0.16197916666666626	0.007031065138762164	1920	29583
Gossypium hirsutum	Fiber cell	4	Ghir-A09G012070	4.860526479806118	4.761187437957759	0.049669520924179394	0.10294418036937714	0.003795171156525612	0.05156249999999997	0.0018929790758205718	1920	29583
Gossypium hirsutum	Fiber cell	5	Ghir-A05G016240	4.7487905965012684	3.816809813619187	0.46599039144104076	1.270565390586853	0.09016091376543045	0.5062500000000113	0.04025960855897055	1920	29583
Gossypium hirsutum	Fiber cell	6	Ghir-D09G011590	4.671749673677851	4.0742175183859555	0.2987660776459479	0.7963004112243652	0.04727228730916977	0.3197916666666694	0.021025589020721505	1920	29583
Gossypium hirsutum	Fiber cell	7	Ghir-A11G012530	4.670249266764446	4.2360914523102	0.21707890722712306	0.5126594305038452	0.027203403413295746	0.22968749999999935	0.012608592772876296	1920	29583
Gossypium hirsutum	Fiber cell	8	Ghir-A10G018990	4.627165476598831	3.477740025326139	0.5747127256363462	2.1310317516326904	0.19128626585006714	0.6484375000000032	0.07372477436365694	1920	29583
Oryza sativa	Style	1	Os11g0454300	4.1680288377849655	3.630315746814883	0.2688565454850413	1.0428991317749023	0.08421774953603745	0.29700042247570607	0.028143876990664778	2367	29136
Oryza sativa	Style	2	Os05g0408900	4.027824894372856	3.609399942275479	0.20921247604868848	0.6749621033668518	0.05530119687318802	0.22898183354457002	0.019769357495881552	2367	29136
Oryza sativa	Style	3	Os03g0141200	4.018485386553302	3.437330204335427	0.29057759110893755	0.9726126194000244	0.08978339284658432	0.32277144064216134	0.03219384953322378	2367	29136
Oryza sativa	Style	4	Os07g0558400	3.9851387919374583	3.876017649290311	0.05456057132357379	0.15859949588775635	0.010801069438457489	0.05830164765525968	0.003741076331685892	2367	29136
Oryza sativa	Style	5	LOC-Os11g41870	3.967011213565161	3.8378907704041523	0.06456022158050438	0.2115045040845871	0.014790132641792297	0.06970849176172349	0.005148270181219106	2367	29136
Oryza sativa	Style	6	Os08g0205900	3.931991518076985	3.8294926995473535	0.05124940926481558	0.14649620652198792	0.010303743183612823	0.054921841994085216	0.003672432729269637	2367	29136
Oryza sativa	Style	7	Os06g0341300	3.9042402407641457	3.7888661792413822	0.05768703076138179	0.18530653417110443	0.01340597216039896	0.06252640473172776	0.004839373970345962	2367	29136
Oryza sativa	Style	8	Os01g0760900	3.893502812465781	3.6783282610939194	0.10758727568593092	0.3231640160083771	0.025241781026124954	0.11702577101816596	0.009438495332235034	2367	29136
Oryza sativa	Outer ovary wall	1	Os03g0739700	5.505641204067673	5.405342512510341	0.050149345778665824	0.13912548124790192	0.0032817632891237736	0.05141612200435742	0.0012667762256915924	2295	29208
Oryza sativa	Outer ovary wall	2	Os03g0574900	5.485834785655055	5.166557230754706	0.15963877745017446	0.524370551109314	0.01459891814738512	0.1647058823529408	0.0050671049027663576	2295	29208
Oryza sativa	Outer ovary wall	3	Os12g0132800	5.342525846646998	5.174103997856354	0.08421092439532227	0.23855318129062653	0.006606338080018759	0.08671023965141648	0.0024993152560942237	2295	29208
Oryza sativa	Outer ovary wall	4	LNC-Os11g68360	5.3199224634618405	5.220700654771232	0.04961090434530439	0.1303849071264267	0.0034955774899572134	0.05098039215686286	0.0013694878115584784	2295	29208
Oryza sativa	Outer ovary wall	5	Os04g0689000	5.1691572132484715	4.927489338210205	0.12083393751913316	0.36937350034713745	0.012136935256421566	0.12549019607843198	0.004656258559298819	2295	29208
Oryza sativa	Outer ovary wall	6	Os03g0571900	5.078729608505011	4.847432068033512	0.11564877023574942	0.3129909634590149	0.010871032252907753	0.11982570806100278	0.004176937825253357	2295	29208
Oryza sativa	Outer ovary wall	7	Os06g0643500	5.068781255038771	4.31249297874952	0.37814413814462516	1.3189948797225952	0.06638151407241821	0.4021786492374762	0.024034511092851055	2295	29208
Oryza sativa	Outer ovary wall	8	Os12g0226900	4.908251119645835	4.775559118349745	0.06634600064804545	0.1921573132276535	0.007014726288616657	0.06884531590413967	0.0024993152560942237	2295	29208
Oryza sativa	Nucellus	1	Os01g0205900	5.47079860527256	5.302170924842937	0.08431384021481185	0.23523204028606415	0.005960915703326464	0.08653846153846154	0.002224621323649689	936	30567
Oryza sativa	Nucellus	2	Os05g0556800	5.428901588442496	5.328692967279905	0.05010431058129562	0.130070298910141	0.003235570387914777	0.051282051282051336	0.0011777407007557167	936	30567
Oryza sativa	Nucellus	3	Os02g0288600	5.420505614299016	4.7523210546138195	0.3340922798425979	1.102805495262146	0.040916409343481064	0.3482905982905974	0.014198318447999533	936	30567
Oryza sativa	Nucellus	4	Os07g0578300	5.3625805115072165	4.854738343860359	0.2539210838234289	1.0068080425262451	0.03479467332363129	0.2660256410256404	0.01210455720221156	936	30567
Oryza sativa	Nucellus	5	Os02g0134700	5.355153523289261	5.1752102209345345	0.0899716511773632	0.27632811665534973	0.007646740414202213	0.09294871794871792	0.002977066771354732	936	30567
Oryza sativa	Nucellus	6	Os02g0802500	5.298256432185995	4.917090175295919	0.19058312844503797	0.5809647440910339	0.019228097051382065	0.19764957264957225	0.0070664442045342704	936	30567
Oryza sativa	Nucellus	7	Os06g0142300	5.211837385082145	4.709597874230407	0.2511197554258693	0.7813773155212402	0.02986184135079384	0.26175213675213616	0.010632381326266892	936	30567
Oryza sativa	Nucellus	8	Os11g0184800	5.097696034711607	4.813250055177788	0.14222298976690947	0.5046557188034058	0.017948957160115242	0.14850427350427328	0.0062812837373638014	936	30567
Zea mays	Unknow	1	Zm00001d018579	11.70821328868467	11.59399127272369	0.05711100798049012	0.20000000298023224	6.369832408381626e-05	0.05714285714285715	3.1849162367029746e-05	105	31398
Zea mays	Unknow	2	Zm00001d017647	11.564722660004989	11.431516723321124	0.06660296834193262	0.2666666805744171	9.554748248774558e-05	0.06666666666666668	6.369832473405949e-05	105	31398
Zea mays	Unknow	3	Zm00001d017735	11.475185442307057	11.304075362502155	0.08555503990245057	0.48571428656578064	0.0001910949795274064	0.08571428571428572	0.00015924581183514872	105	31398
Zea mays	Unknow	4	Zm00001d044585	11.466773719216945	11.3526154015807	0.05707915881812309	0.41904762387275696	0.00015924579929560423	0.05714285714285715	6.369832473405949e-05	105	31398
Zea mays	Unknow	5	Zm00001d026961	11.465421008741945	11.048029546137412	0.20869573130226668	5.666667938232422	0.0026753293350338936	0.20952380952380945	0.0008280782215427737	105	31398
Zea mays	Unknow	6	Zm00001d028769	11.23384964974816	11.119755030436648	0.05704730965575606	0.2857142984867096	0.00012739664816763252	0.05714285714285715	9.554748710108924e-05	105	31398
Zea mays	Unknow	7	Zm00001d000355	11.106477316567599	10.9355583317369	0.08545949241534948	1.0	0.0005095865344628692	0.08571428571428572	0.0002547932989362379	105	31398
Zea mays	Unknow	8	Zm00001d045765	11.066962995927057	10.725634612863532	0.17066419153176265	2.428571939468384	0.001433212193660438	0.17142857142857137	0.0007643798968087141	105	31398
Zea mays	G1/S phase	1	Zm00001d012015	12.225239919868505	12.101592261761281	0.061823829053611785	0.14432989060878754	3.1841049349168316e-05	0.06185567010309278	3.1841049480990894e-05	97	31406
Zea mays	G1/S phase	2	Zm00001d031732	11.877319396721283	11.75367173861406	0.061823829053611785	0.11340206116437912	3.1841049349168316e-05	0.06185567010309278	3.1841049480990894e-05	97	31406
Zea mays	G1/S phase	3	Zm00001d036977	10.630567877838777	10.486301663030522	0.07213310740412725	0.09278350323438644	6.368209869833663e-05	0.07216494845360824	3.1841049480990894e-05	97	31406
Zea mays	G1/S phase	4	Zm00001d031526	10.609885639038783	10.486301663030522	0.0617919880041308	0.09278350323438644	6.368209869833663e-05	0.06185567010309278	6.368209896198179e-05	97	31406
Zea mays	G1/S phase	5	Zm00001d024004	10.488647859849571	10.323826770439249	0.08241054470516172	0.12371134012937546	9.552315168548375e-05	0.08247422680412371	6.368209896198179e-05	97	31406
Zea mays	G1/S phase	6	Zm00001d011753	10.342499473319233	10.198296940609941	0.07210126635464625	0.11340206116437912	9.552315168548375e-05	0.07216494845360824	6.368209896198179e-05	97	31406
Zea mays	G1/S phase	7	Zm00001d052264	10.240050580923008	8.415188170365175	0.9124312052789166	9.79380989074707	0.028688808903098106	0.9175257731958751	0.005094567916958534	97	31406
Zea mays	G1/S phase	8	Zm00001d038537	10.226701412383767	10.123735993076536	0.05148270965361534	0.07216494530439377	6.368209869833663e-05	0.05154639175257732	6.368209896198179e-05	97	31406
Zea mays	S phase	1	Zm00001d008222	17.116591381443712	16.98672125157358	0.06493506493506494	0.12987013161182404	0.0	0.06493506493506494	0.0	77	31426
Zea mays	S phase	2	Zm00001d038060	16.990563493091102	16.834719337246945	0.07792207792207793	0.11688311398029327	0.0	0.07792207792207793	0.0	77	31426
Zea mays	S phase	3	Zm00001d025414	16.794665939571424	16.664795809701292	0.06493506493506494	0.10389609634876251	0.0	0.06493506493506494	0.0	77	31426
Zea mays	S phase	4	Zm00001d051817	16.76869201705472	16.664795913158613	0.05194805194805195	0.10389610379934311	0.0	0.05194805194805195	0.0	77	31426
Zea mays	S phase	5	Zm00001d025319	16.76869201705472	16.664795913158613	0.05194805194805195	0.10389610379934311	0.0	0.05194805194805195	0.0	77	31426
Zea mays	S phase	6	Zm00001d035703	16.60202287487359	16.47215274500346	0.06493506493506494	0.09090908616781235	0.0	0.06493506493506494	0.0	77	31426
Zea mays	S phase	7	Zm00001d013200	16.379633137858857	16.249763007988726	0.06493506493506494	0.07792207598686218	0.0	0.06493506493506494	0.0	77	31426
Zea mays	S phase	8	Zm00001d005939	16.35365911188483	16.249763007988726	0.05194805194805195	0.07792207598686218	0.0	0.05194805194805195	0.0	77	31426
