dataset_id	species	tissue_or_scope	priority	status	accession	source_url	page_url	fetch_status	file_count	file_type_counts	matrix_file_count	candidate_files	recommended_action	download_ready	error
discovered_gse235495	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE235495	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235495	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235495	ok	1	mtx_archive:1	1	GSE235495_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse235509	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE235509	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235509	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235509	ok	1	mtx_archive:1	1	GSE235509_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse235510	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE235510	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235510	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235510	ok	1	mtx_archive:1	1	GSE235510_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse267159	Populus trichocarpa	public discovery candidate	A	ncbi_discovery_candidate	GSE267159	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267159	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267159	ok	1	mtx_archive:1	1	GSE267159_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
brassicaceae_multi_species_root_atlas	Brassicaceae	roots across five species and abiotic-stress adaptation	A	download_candidate	GSE268881	https://www.nature.com/articles/s41467-026-73270-2	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268881	ok	7	archive:6;mtx_archive:1	1	GSE268881_RAW.tar;GSE268881_integratedAth.RDS.tar.gz;GSE268881_integratedAthEsaSirSpa.RDS.tar.gz;GSE268881_integratedCsa.RDS.tar.gz;GSE268881_integratedEsa.RDS.tar.gz;GSE268881_integratedSir.RDS.tar.gz;GSE268881_integratedSpa.RDS.tar.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse283835	Populus tremula x Populus alba	public discovery candidate	A	ncbi_discovery_candidate	GSE283835	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283835	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283835	ok	2	metadata_table:1;mtx_archive:1	1	GSE283835_Counts.csv.gz;GSE283835_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse303744	Arabidopsis thaliana; synthetic construct	public discovery candidate	A	ncbi_discovery_candidate	GSE303744	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303744	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303744	ok	1	mtx_archive:1	1	GSE303744_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
rice_node_reproductive_stage_atlas	Oryza sativa Japonica Group	node I at booting, flowering, and grain-filling stages	A	download_candidate	GSE308757	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308757	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308757	ok	1	mtx_archive:1	1	GSE308757_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
stevia_leaf_secondary_metabolism_snuc	Stevia rebaudiana	leaf secondary metabolism	A	download_candidate	GSE311951	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311951	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311951	ok	1	mtx_archive:1	1	GSE311951_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
tomato_salt_idioblast_atlas	Solanum lycopersicum	leaf salt-stress crystal idioblasts	A	download_candidate	GSE325371	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325371	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325371	ok	1	mtx_archive:1	1	GSE325371_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
