query_label	db	uid	accession	title	organism	sample_count	publication_date	url	priority	score	recommended_action	matched_queries	summary
plant_single_cell_gds	gds	200230849	GSE230849	Understanding the cell fate and behavior of progenitors at the origin of the mouse cardiac mitral valve	Mus musculus	4	2023/12/02	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230849	C	2	out-of-scope non-plant organism unless manual review overrides	plant_single_cell_gds	Congenital heart malformations include mitral valve defects, which remain largely unexplained. During embryogenesis, a restricted population of endocardial cells within the atrioventricular canal undergoes an endothelial-to-mesenchymal transition to give rise to mitral valvular cells. However, the identity and fate decisions of these progenitors as well as the behavior and distribution of their derivatives in valve leaflets remain unknown. We used single-cell RNA sequencing (scRNA-seq) of genetically labeled endocardial cells and microdissected mouse embryonic and postnatal mitral valves to characterize the developmental road. We defined the metabolic processes underlying the specification of the progenitors and their contributions to subtypes of valvular cells. Using retrospective multicolor clonal analysis, we describe specific modes of growth and behavior of endocardial cell-derive...
medicinal_secondary_metabolism_single_cell	gds	200231319	GSE231319	Specification of a rostro-caudal axis in cortical assembloids through a polarized source of FGF8 (scRNA-Seq)	Homo sapiens	4	2024/05/03	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231319	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	Current organoid protocols are widely used to mechanistically study cortical development, evolution and brain pathologies. While these systems generate all major cortical cell types in histologically distinct compartments, they lack cortical area topography, which is initiated by gradients of signaling molecules released by signaling organizers that establish transcriptionally distinct domains along the rostro-caudal axis of the developing cortex. Here, we engineer human cortical assembloids that combine an organizer-like structure expressing FGF8 with an elongated organoid design to enable the controlled modulation of FGF8 signaling along the longitudinal organoid axis. We demonstrate that individual polarized cortical assembloids (polCA) mount a position-dependent transcriptional program that matches the in vivo rostro-caudal gene expression patterns. Importantly, positional identit...
medicinal_secondary_metabolism_single_cell	gds	200231350	GSE231350	Gene expression profile at single cell level of breast cancer cells or stromal cells from a 3D culture model and cells forming mammary tumor in mouse breast cancer model	Mus musculus	8	2023/07/03	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231350	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	Single-cell transcriptomics to investigate shows a reprogramming of awakened cancer cells including several survival cues such as stemness, chemoresistance, as well as an altered tumor microenvironment with augmented pro-tumor immune signaling. IL-6 plays a role in cancer cell proliferation, whereas G-CSF mediates tumor immunosuppression. Pathways and differential expression analyses confirmed MEK as the key regulatory molecule in cancer cell outgrowth and survival.
medicinal_secondary_metabolism_single_cell	gds	200231394	GSE231394	Mammary ductal epithelium controls cold-induced adipocyte thermogenic program	Mus musculus	4	2023/05/01	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231394	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	Sympathetic activation during cold exposure increases adipocyte thermogenesis via the expression of mitochondrial protein uncoupling protein 1 (UCP1)1. The propensity of adipocytes to express UCP1 is under a critical influence of the adipose microenvironment and varies between sexes and among various fat depots2-7. Here, we report that cold-induced adipocyte UCP1 expression in a female mouse subcutaneous white adipose tissue (scWAT) is regulated by mammary gland ductal epithelial cells in the adipose niche. Single-cell RNA-sequencing (scRNA-seq) shows that glandular luminal epithelium subtypes express transcripts that encode secretory factors in controlling adipocyte UCP1 expression under cold conditions. We term luminal epithelium secretory factors as “mammokines”. Using whole-tissue immunofluorescence 3D visualization, we reveal previously undescribed sympathetic nerve-ductal points...
plant_single_cell_gds	gds	200231604	GSE231604	Microglial MHC-I induction with aging and Alzheimer’s is conserved in mouse models and humans	Mus musculus	28	2023/07/05	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231604	C	2	out-of-scope non-plant organism unless manual review overrides	plant_single_cell_gds	Major Histocompatibility Complex I (MHC-I) CNS cellular localization and function is still being determined after previously being thought to be absent from the brain. MHC-I expression has been reported to increase with brain aging in mouse, rat, and human whole tissue analyses. Neuronal MHC-I has been proposed to regulate developmental synapse elimination and tau pathology in Alzheimer’s disease (AD). Here we report that across newly generated and publicly available ribosomal profiling, cell sorting, and single-cell data, microglia were the primary source of classical and non-classical MHC-I in mice and humans. Translating Ribosome Affinity Purification (TRAP)-qPCR analysis of 3-6 and 18-22 month old (m.o.) mice revealed significant age-related microglial induction of MHC-I pathway genes B2m, H2-D1, H2-K1, H2-M3, H2-Q6, and Tap1 but not in astrocytes and neurons. Across a timecourse...
medicinal_secondary_metabolism_single_cell	gds	200231607	GSE231607	Single-cell transcriptomic analysis of human skin organoids during folliculogenesis	Homo sapiens	10	2024/05/01	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231607	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	In this study, we defined a differentiation approach for guiding human pluripotent stem cells in to complex hair-bearing skin tissue, known as skin organoids. The primary goal of this single-cell RNA-sequencing analysis was to define the cellular composition of skin organoids before, during, and after the process of hair folliculogenesis. The secondary goal was to determine whether skin organoids generated using different cell lines (WA25 hESCs and DSP-GFP hiPSCs) contain similar cell types and accurately reflect features of developing fetal skin tissue.
plant_single_cell_gds	gds	200231918	GSE231918	single cell gene expression analysis of aP2-Cre and Cdh5-Cre tdTomato labeled cells from multiple muscle [scRNA-seq]	Mus musculus	3	2025/09/22	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231918	C	2	out-of-scope non-plant organism unless manual review overrides	plant_single_cell_gds	Comparison of aP2-Cre and Cdh5-Cre tdTomato labaled cells from hindlimb and SCM muscles shows they mark the same endothelial cell populations
medicinal_secondary_metabolism_single_cell	gds	200232448	GSE232448	Genomewide analysis of S6K1-depleted human dorsal forebrain organoids [single-cell RNA-seq]	Homo sapiens	8	2025/09/25	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232448	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	To elucidate the role of S6K1 in human brain development, we performed next-generation sequencing-based genomweide analysis of S6K1 knockout (KO) human embryonic stem cells (ESCs) and brain organoids. Development/differentiation-related genes were highly enriched in DEGs of S6K1 KO hESCs compared to WT hESCs. Single cell transcriptomic analysis showed unusual retinal cell development in S6K1-depleted brain organoids, thereby reducing neural populations. Furthermore, we generated brain organoids containing both WT and S6K1 KO cells and then isolated them after completing differentiation to compare the feature of each portion grown in mixed condition. ATAC sequencing analysis of each portion in mixed brain organoids displayed no significant differences in retinal cell marker gene transcriptomes between WT and S6K1 KO portions, while chromatin accessibility of neural-specific genes were...
medicinal_secondary_metabolism_single_cell	gds	200232470	GSE232470	Immune stimulation recruits a subset of pro-regenerative macrophages to the retina that promotes axonal regrowth of injured neurons	Mus musculus	4	2023/05/31	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232470	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	The multifaceted nature of neuroinflammation is highlighted by its ability to both aggravate and promote neuronal health. While in mammals retinal ganglion cells (RGCs) are unable to regenerate following injury, acute inflammation can induce axonal regrowth. However, the nature of the cells, cellular states and signalling pathways that drive this inflammation-induced regeneration have remained elusive. Here, we investigated the functional significance of macrophages during RGC de- and regeneration, by characterizing the inflammatory cascade evoked by optic nerve crush (ONC) injury, with or without local inflammatory stimulation in the vitreous. By combining single-cell RNA sequencing and fate mapping approaches, we elucidated the response of retinal microglia and recruited monocyte-derived macrophages (MDMs) to RGC injury. Importantly, inflammatory stimulation recruited large numbers...
medicinal_secondary_metabolism_single_cell	gds	200232498	GSE232498	Single-cell sequencing of neuroblastoma CHP134 cells treated with doxazosin, isotretinoin (13cRA) and their combination.	Homo sapiens	4	2023/05/29	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232498	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	Neuroblastoma (NB) is an aggressive childhood tumor, with high-risk cases having a 5-year overall survival probability of about 50%. The multimodal therapeutic scheme of NB includes isotretinoin (13cRA), used in the post-consolidation phase as an anti-proliferative and pro-differentiative agent to minimize residual disease and prevent relapse. Administration of doxazosin, a safe α1-antagonist used in pediatric patients, with 13cRA in NB xenografted mice exerted a marked control of tumor growth, while each of the two drugs alone was ineffective. To unveil the molecular mechanisms underlying this synergism, single-cell RNA-seq was performed in CHP134 control cells, and cells treated with 13cRA (5 uM), doxazosin (10 uM), and their combination. The data revealed that the transcriptome of single cells was markedly reprogrammed when exposed to 13cRA and to the combination of doxazosin and 1...
