dataset_id	accession	species	tissue_or_scope	priority	status	filename	file_type	url	matrix_like
discovered_gse121619	GSE121619	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE121619_Control_Heatshock_cds.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121619/suppl/GSE121619_Control_Heatshock_cds.rds.gz	True
discovered_gse123013	GSE123013	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE123013_RAW_matrices.tar.gz	mtx_archive	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123013/suppl/GSE123013_RAW_matrices.tar.gz	True
discovered_gse125708	GSE125708	Mus musculus	public discovery candidate	A	ncbi_discovery_candidate	GSE125708_RAW.tar	mtx_archive	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE125708&format=file&file=GSE125708_RAW.tar	True
discovered_gse138526	GSE138526	Zea mays	public discovery candidate	A	ncbi_discovery_candidate	GSE138526_RAW.tar	mtx_archive	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE138526&format=file&file=GSE138526_RAW.tar	True
rice_root_tip_atlas	GSE146034	Oryza sativa	root tip	B	download_candidate	GSE146034_RAW.tar	mtx_archive	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE146034&format=file&file=GSE146034_RAW.tar	True
tomato_rice_root_tip_celltype_atlas	GSE149217	Solanum lycopersicum; Oryza sativa	root tip cell types	B	download_candidate	GSE149217_RAW.tar	mtx_archive	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE149217&format=file&file=GSE149217_RAW.tar	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_RAW.tar	mtx_archive	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE152766&format=file&file=GSE152766_RAW.tar	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_Columella_Atlas.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_Columella_Atlas.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_Epidermis_LRC_Atlas.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_Epidermis_LRC_Atlas.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_Ground_Tissue_Atlas.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_Ground_Tissue_Atlas.rds.gz	True
